Product Name,Price String,User Review Text
Asus VivoBook...,$295.99,"Absolutely amazing laptop! Fast delivery, crisp display, and lightning performance. Highly recommend!"
Prestigio Smar...,$299,"Decent product for the price. It handles basic web browsing fine, but struggles quite a bit with heavy gaming."
Prestigio Smar...,$299,"Terrible experience. The battery dies in less than an hour, and it overheats constantly. Going to return it."
Aspire E1-510,$306.99,"It is an okay device. Nothing spectacular, builds are average, but it works fine for school assignments."
Lenovo V110-15...,$321.94,Outstanding quality! Best keyboard I have ever used. Worth every single penny.
Lenovo V110-15...,$356.49,"Disappointed. The screen arrived with a noticeable scratch, and the system speaker sounds distorted and crackly."
Hewlett Packar...,$364.46,"Very middle of the road. It runs quiet, but the storage space is way too low for modern needs."
Acer Aspire 3...,$372.7,Incredible performance! Runs heavy video editing software smoothly without a single hitch. Love it!
Acer Aspire A3...,$379.94,"Absolutely amazing laptop! Fast delivery, crisp display, and lightning performance. Highly recommend!"
Acer Aspire ES...,$379.95,"Decent product for the price. It handles basic web browsing fine, but struggles quite a bit with heavy gaming."
Acer Aspire 3...,$391.48,"Terrible experience. The battery dies in less than an hour, and it overheats constantly. Going to return it."
Acer Aspire 3...,$393.88,"It is an okay device. Nothing spectacular, builds are average, but it works fine for school assignments."
Asus VivoBook...,$399,Outstanding quality! Best keyboard I have ever used. Worth every single penny.
Asus VivoBook...,$399.99,"Disappointed. The screen arrived with a noticeable scratch, and the system speaker sounds distorted and crackly."
Lenovo ThinkPa...,$404.23,"Very middle of the road. It runs quiet, but the storage space is way too low for modern needs."
Acer Aspire 3...,$408.98,Incredible performance! Runs heavy video editing software smoothly without a single hitch. Love it!
Lenovo V110-15...,$409.63,"Absolutely amazing laptop! Fast delivery, crisp display, and lightning performance. Highly recommend!"
Acer Aspire ES...,$410.46,"Decent product for the price. It handles basic web browsing fine, but struggles quite a bit with heavy gaming."
Asus VivoBook...,$410.66,"Terrible experience. The battery dies in less than an hour, and it overheats constantly. Going to return it."
Packard 255 G2,$416.99,"It is an okay device. Nothing spectacular, builds are average, but it works fine for school assignments."
Asus EeeBook R...,$433.3,Outstanding quality! Best keyboard I have ever used. Worth every single penny.
Acer Aspire 3...,$436.29,"Disappointed. The screen arrived with a noticeable scratch, and the system speaker sounds distorted and crackly."
Acer Aspire ES...,$436.29,"Very middle of the road. It runs quiet, but the storage space is way too low for modern needs."
